strain	accession	site	reads	flu	ct	date
A/Kenya/CDC-Siaya-028/2011	EPI_ISL_429593	Siaya	"780,143"	"299,617"	23.09	16-Feb-11
A/Kenya/CDC-Siaya-029/2011	EPI_ISL_429594	Siaya	"732,596"	"335,112"	26.61	15-Feb-11
A/Kenya/CDC-Siaya-030/2011	EPI_ISL_429595	Siaya	"501,579"	"9,451"	29.74	16-Feb-11
A/Kenya/CDC-Siaya-032/2011	EPI_ISL_429596	Siaya	"413,310"	"114,548"	26.8	21-Feb-11
A/Kenya/CDC-Siaya-033/2011	EPI_ISL_429660	Siaya	"357,111"	"14,706"	28.46	21-Feb-11
A/Kenya/CDC-Siaya-035/2011	EPI_ISL_429661	Siaya	"482,543"	"48,385"	31.07	28-Feb-11
A/Kenya/CDC-Siaya-036/2011	EPI_ISL_429662	Siaya	"469,058"	"157,101"	28.08	01-Mar-11
A/Kenya/CDC-Siaya-037/2011	EPI_ISL_429704	Siaya	"435,508"	"263,340"	22.93	28-Feb-11
A/Kenya/CDC-Siaya-038/2011	EPI_ISL_429801	Siaya	"445,075"	"394,407"	21.09	07-Mar-11
A/Kenya/CDC-Siaya-039/2011	EPI_ISL_429804	Siaya	"1,318,841"	"1,248,668"	22.13	10-Mar-11
A/Kenya/CDC-Siaya-040/2011	EPI_ISL_429823	Siaya	"459,167"	"399,434"	26.13	11-Mar-11
A/Kenya/CDC-Siaya-041/2011	EPI_ISL_429824	Siaya	"503,606"	"378,273"	21.28	11-Mar-11
A/Kenya/CDC-Siaya-042/2011	EPI_ISL_429825	Siaya	"413,020"	"267,216"	34.62	11-Mar-11
A/Kenya/CDC-Siaya-043/2011	EPI_ISL_429826	Siaya	"501,060"	"140,456"	26.47	13-Apr-11
A/Kenya/CDC-Siaya-044/2011	EPI_ISL_429827	Siaya	"875,890"	"815,001"	17.44	07-Nov-11
A/Kenya/CDC-Siaya-045/2011	EPI_ISL_429828	Siaya	"420,488"	"395,777"	22.81	10-Nov-11
A/Kenya/CDC-Siaya-047/2013	EPI_ISL_429829	Siaya	"1,276,097"	"1,214,482"	25.38	04-Feb-13
A/Kenya/CDC-Siaya-048/2013	EPI_ISL_429830	Siaya	"774,380"	"745,384"	21.43	07-Feb-13
A/Kenya/CDC-Siaya-049/2013	EPI_ISL_429832	Siaya	"751,855"	"638,547"	21.07	27-Feb-13
A/Kenya/CDC-Siaya-050/2011	EPI_ISL_429833	Siaya	"307,921"	"151,863"	29.67	14-Mar-11
A/Kenya/CDC-Siaya-051/2011	EPI_ISL_429834	Siaya	"393,999"	"338,043"	23.28	14-Mar-11
A/Kenya/CDC-Siaya-052/2011	EPI_ISL_429835	Siaya	"343,386"	"331,491"	33.41	16-Mar-11
A/Kenya/CDC-Siaya-056/2013	EPI_ISL_429836	Siaya	"446,486"	"231,950"	31.72	11-Feb-13
